2012,8,2.9523809523809526
2012,9,4.444444444444445
2012,10,10.986559139784946
2012,11,15.827777777777778
2012,12,15.68010752688172
2013,1,18.43010752688172
2013,2,22.19047619047619
2013,3,23.588709677419356
2013,4,34.40555555555556
2013,5,45.61290322580645
2013,6,57.333333333333336
2013,7,74.78763440860214
2013,8,100.13709677419355
2013,9,120.74444444444444
2013,10,139.93279569892474
2013,11,141.0
2013,12,157.38709677419354
2014,1,167.20430107526883
2014,2,200.20238095238096
2014,3,183.99462365591398
2014,4,240.95555555555555
2014,5,264.497311827957
2014,6,316.1138888888889
2014,7,343.35483870967744
2014,8,389.98118279569894
2014,9,468.43333333333334
