,ID,Count
0,18288,411.71375005220636
1,18289,328.5691122999803
2,18290,278.0706707507137
3,18291,229.7598609057692
4,18292,193.38956925966602
5,18293,173.1155644012165
6,18294,186.14624020522191
7,18295,215.880471798415
8,18296,248.59983294131865
9,18297,321.245301811598
10,18298,455.97122222426003
11,18299,505.5038865662675
12,18300,510.8595601701597
13,18301,451.8154536354477
14,18302,483.10078195545145
15,18303,476.9988259641317
16,18304,464.82417995746994
17,18305,475.65259106916415
18,18306,487.35898146018496
19,18307,517.1371120173446
20,18308,496.9509050868272
21,18309,463.85108625621575
22,18310,465.53387987492505
23,18311,454.52987290736576
24,18312,392.3442483081616
25,18313,313.11123654789105
26,18314,264.98854672305936
27,18315,218.95056919287046
28,18316,184.2913557591935
29,18317,164.97116255365742
30,18318,177.38879665653008
31,18319,205.72415038705967
32,18320,236.90419514171748
33,18321,306.1319823440871
34,18322,434.5195816536278
35,18323,481.72193026477123
36,18324,486.8256406315892
37,18325,430.55932552199874
38,18326,460.37280301996776
39,18327,454.5579198971179
40,18328,442.9560427791058
41,18329,453.27502002349144
42,18330,464.430671098503
43,18331,492.80785852056414
44,18332,473.57133269809026
45,18333,442.02872928349484
46,18334,443.63235412552774
47,18335,433.14604211501717
48,18336,377.91795990601406
49,18337,301.5983036582898
50,18338,255.24505942898736
51,18339,210.89987373700183
52,18340,177.51506106475284
53,18341,158.90526104165832
54,18342,170.86630537263332
55,18343,198.15978328452616
56,18344,228.1933544513534
57,18345,294.87567290292463
58,18346,418.54252877634895
59,18347,464.00927224670227
60,18348,468.92532190996656
61,18349,414.7278891469309
62,18350,443.44514100501544
63,18351,437.84406802801766
64,18352,426.66878573338437
65,18353,436.608339697361
66,18354,447.3538034422006
67,18355,474.68757684313687
68,18356,456.1583677981282
69,18357,425.775569059594
70,18358,427.32022947291466
71,18359,417.2194935527658
72,18360,262.6238262752123
73,18361,209.58755314130008
74,18362,177.37562449203372
75,18363,146.55914160720243
76,18364,123.35927239313365
77,18365,110.42689709798475
78,18366,118.73890012961968
79,18367,137.7057616234791
80,18368,158.57677653502935
81,18369,204.91584340819156
82,18370,290.854767509552
83,18371,322.4506465236832
84,18372,325.8669217730694
85,18373,288.20388726139447
86,18374,308.16016180562286
87,18375,304.26784820181405
88,18376,296.50188916495824
89,18377,303.409112346777
90,18378,310.8763806514461
91,18379,329.87124440144817
92,18380,316.99487361858394
93,18381,295.8811724871322
94,18382,296.9545923059284
95,18383,289.9353600995397
96,18384,261.67045822769717
97,18385,208.8267155617257
98,18386,176.73172155604675
99,18387,146.02710761523278
100,18388,122.91145777428378
101,18389,110.02602914638794
102,18390,118.30785822840986
103,18391,137.20586686925
104,18392,158.00111653505655
105,18393,204.1719649097866
106,18394,289.79891646304236
107,18395,321.2800971959382
108,18396,324.6839707995542
109,18397,287.1576593498541
110,18398,307.04148930758873
111,18399,303.1633054477312
112,18400,295.42553813022187
113,18401,302.3076869462758
114,18402,309.7478478284963
115,18403,328.6737570726449
116,18404,315.8441296513654
117,18405,294.8070747568869
118,18406,295.8765978837061
119,18407,288.8828466544191
120,18408,410.1391968338148
121,18409,327.3125364553057
122,18410,277.0072205513572
123,18411,228.88116999879682
124,18412,192.64997246785973
125,18413,172.45350327489498
126,18414,185.4343447157721
127,18415,215.05486106373587
128,18416,247.6490906671057
129,18417,320.0167350615284
130,18418,454.2274112503586
131,18419,503.57064345402887
132,18420,508.9058348828454
133,18421,450.0875359340094
134,18422,481.25321701272367
135,18423,475.17459727005587
